,0,1
205,Alyse_Beaupre,1
206,Alyson_Hannigan,1
207,Aly_Wagner,1
208,Al_Cardenas,1
209,Al_Davis,2
210,Al_Gore,8
211,Al_Leiter,1
212,Al_Pacino,3
213,Al_Sharpton,7
214,Amanda_Beard,2
215,Amanda_Bynes,4
216,Amanda_Coetzer,2
217,Amanda_Marsh,1
218,Amanda_Plumer,1
219,Amber_Frey,1
220,Amber_Tamblyn,2
221,Ambrose_Lee,1
222,Amelia_Vega,7
223,Amelie_Mauresmo,21
224,Amer_al-Saadi,4
225,Amporn_Falise,1
226,Amram_Mitzna,2
227,Amr_Moussa,1
228,Amy_Brenneman,1
229,Amy_Cotton,1
230,Amy_Gale,1
231,Amy_Pascal,1
232,Amy_Redford,1
233,Amy_Smart,1
234,Amy_Yasbeck,1
235,Anastasia_Kelesidou,1
236,Anastasia_Myskina,3
237,Anatoliy_Kinakh,1
238,Ana_Claudia_Talancon,1
239,Ana_Guevara,7
240,Ana_Isabel_Sanchez,1
241,Ana_Palacio,8
242,Ana_Paula_Gerard,1
243,Ana_Sebastiao,1
244,Anderson_Varejao,1
245,Anders_Ebbeson,3
246,Anders_Fogh_Rasmussen,4
247,Andreas_Vinciguerra,1
248,Andrea_Bocelli,1
249,Andrea_De_Cruz,1
250,Andrea_Kiser,1
251,Andrea_Yates,1
252,Andrei_Konchalovsky,1
253,Andrei_Mikhnevich,2
254,Andrei_Nikolishin,1
255,Andres_DAlessandro,1
256,Andres_Manuel_Lopez_Obrador,1
257,Andres_Pastrana,1
258,Andrew_Bernard,1
259,Andrew_Bunner,2
260,Andrew_Caldecott,1
261,Andrew_Cuomo,2
262,Andrew_Fastow,1
263,Andrew_Firestone,1
264,Andrew_Gilligan,1
265,Andrew_Jarecki,1
266,Andrew_Luster,1
267,Andrew_Niccol,2
268,Andrew_Sabey,1
269,Andrew_Shutley,1
270,Andrew_Weissmann,3
271,Andrew_Wetzler,1
272,Andre_Agassi,36
273,Andre_Bucher,1
274,Andre_Lange,1
275,Andre_Smith,1
276,Andre_Techine,1
277,Andrzej_Tyszkiewicz,1
278,Andy_Benes,1
279,Andy_Bryant,1
280,Andy_Dick,1
281,Andy_Garcia,1
282,Andy_Graves,1
283,Andy_Griffith,1
284,Andy_Griggs,1
285,Andy_Hebb,2
286,Andy_Lau,1
287,Andy_Madikians,1
288,Andy_North,1
289,Andy_Perez,1
290,Andy_Roddick,15
291,Andy_Rooney,1
292,Andy_Warhol,1
293,Andy_Wisecarver,1
294,Anette_Hosoi,1
295,AnFernce_Negron,1
296,Angela_Alvarado_Rosa,1
297,Angela_Bassett,6
298,Angela_Lansbury,2
299,Angela_Mascia-Frye,1
300,Angela_Merkel,5
301,Angelica_Romero,1
302,Angelina_Jolie,20
303,Angelo_Genova,1
304,Angelo_Reyes,4
305,Angel_Lockward,1
306,Angel_Maza,1
307,Angie_Arzola,1
308,Angie_Martinez,1
309,Anibal_Ibarra,3
310,Anil_Ramsook,1
311,Anita_DeFrantz,1
312,Anja_Paerson,1
313,Anjum_Hussain,1
314,Anna_Chicherova,1
315,Anna_Faris,1
316,Anna_Jones,1
317,Anna_Kournikova,12
318,Anna_Nicole_Smith,2
319,Anneli_Jaatteenmaki,2
320,Annette_Bening,2
321,Annette_Lu,3
322,Anne_Cavers,1
323,Anne_Donovan,1
324,Anne_Heche,1
325,Anne_Krueger,3
326,Anne_McLellan,3
327,Anne_ONeil,1
328,Annie-Jeanne_Reynaud,1
329,Annie_Chaplin,1
330,Annie_Machon,1
331,Annika_Sorenstam,1
332,Ann_Godbehere,1
333,Ann_Landers,1
334,Ann_Morgan,1
335,Ann_Veneman,11
336,Antanas_Valionis,1
337,Anthony_Carter,1
338,Anthony_Corso,1
339,Anthony_Ervin,1
340,Anthony_Fauci,2
341,Anthony_Garotinho,1
342,Anthony_Hazen,1
343,Anthony_Hopkins,2
344,Anthony_LaPaglia,2
345,Anthony_Lee_Johnson,1
346,Anthony_Mazur,1
347,Anthony_Pico,1
348,Anthony_Pisciotti,1
349,Anthony_Principi,1
350,Anthony_Rackauckas,1
351,Anthony_Scott_Miller,1
352,Antje_Buschschulte,1
353,Antonio_Banderas,5
354,Antonio_Bernardo,1
355,Antonio_Cassano,1
356,Antonio_Catania,1
357,Antonio_Elias_Saca,1
358,Antonio_Palocci,8
359,Antonio_Trillanes,3
360,Antony_Leung,4
361,Anton_Balasingham,1
362,Antwun_Echols,1
363,Anwar_Ibrahim,2
364,Anzori_Kikalishvili,1
365,Aparna_Pillai,1
366,Aram_Adler,1
367,Arantxa_Sanchez-Vicario,2
368,Aretha_Franklin,1
369,Arianna_Huffington,4
370,Ariel_Sharon,77
371,Arie_Haan,1
372,Arif_Mardin,1
373,Ari_Bousbib,1
374,Ari_Fleischer,13
375,Arlen_Specter,3
376,Armando_Avila_Panchame,1
377,Armando_Calderon_Sol,1
378,Armando_Carrillo,1
379,Armand_Sargen,1
380,Arminio_Fraga,6
381,Arnaud_Clement,2
382,Arnaud_Lagardere,1
383,Arnie_Boehm,1
384,Arnoldo_Aleman,5
385,Arnold_Palmer,3
386,Arnold_Schwarzenegger,42
387,Arnold_Scott,1
388,Aron_Ralston,2
389,Arsinee_Khanjian,2
390,Arthur_Johnson,1
391,Arthur_Martinez,1
392,Artieas_Shanks,1
393,Arturo_Gatti,3
394,Art_Cooper,1
395,Art_Hoffmann,2
396,Art_Howe,4
397,Art_Lopez,1
398,Arye_Mekel,2
399,Asa_Hutchinson,2
400,Ascencion_Barajas,1
401,Ashanti,5
402,Ashlea_Talbot,1
403,Ashley_Judd,1
404,Ashley_Olsen,1
405,Ashley_Postell,1
406,Ashraf_Alasmar,1
407,Ashraf_Ghani,1
408,Ashton_Kutcher,3
409,Asif_Ali_Zardari,1
410,Asif_Hanif,1
411,Askar_Akayev,1
412,Asmaa_Assad,1
413,Assad_Ahmadi,1
414,Astou_Ndiaye-Diatta,1
415,Astrid_Betancourt,1
416,Astrid_Eyzaguirre,1
417,Atal_Bihari_Vajpayee,24
418,Ataollah_Mohajerani,1
419,Atiabet_Ijan_Amabel,1
420,Atom_Egoyan,1
421,Atsushi_Sato,1
422,Audrey_Lacroix,1
423,Audrey_Sauret,1
424,Augustin_Calleri,4
425,Augusto_Pinochet,2
426,Augusto_Roa_Bastos,2
427,Aung_San_Suu_Kyi,2
428,Austin_Kearns,1
429,Avril_Lavigne,1
430,Azmi_Bishara,1
431,Azra_Akin,4
432,Babe_Ruth,1
433,Baburam_Bhattari,1
434,Bak_Chang-Ryun,1
435,Barbara_Bach,1
436,Barbara_Becker,1
437,Barbara_Bodine,1
438,Barbara_Boxer,1
439,Barbara_Brezigar,2
440,Barbara_De_Brun,1
441,Barbara_Esbin,1
442,Barbara_Felt-Miller,1
443,Barbara_Roberts,1
444,Barbara_Walters,4
445,Barbora_Strycova,1
446,Barbra_Streisand,3
447,Barrett_Jackman,2
448,Barry_Alvarez,2
449,Barry_Bonds,1
450,Barry_Collier,1
451,Barry_Diller,1
452,Barry_Ford,1
453,Barry_Hinson,1
454,Barry_Nakell,1
455,Barry_Switzer,1
456,Barry_Williams,1
457,Barry_Zito,2
458,Bartosz_Kizierowski,1
459,Bart_Freundlich,1
460,Bart_Hendricks,1
461,Barzan_al-Tikriti,1
462,Basdeo_Panday,1
463,Bashar_Assad,4
464,Baz_Luhrmann,1
465,BB_King,1
466,Beatrice_Dalle,1
467,Beatriz_Merino,1
468,Beecher_Ray_Kirby,1
469,Begum_Khaleda_Zia,2
470,Bela_Karolyi,1
471,Benazir_Bhutto,5
472,Benedita_da_Silva,1
473,Benicio_Del_Toro,1
474,Benito_Santiago,1
475,Benjamin_Bratt,1
476,Benjamin_Franklin,1
477,Benjamin_Martinez,1
478,Benjamin_McKenzie,1
479,Benjamin_Netanyahu,5
480,Benjamin_Neulander,1
481,Ben_Affleck,7
482,Ben_Betts,1
483,Ben_Braun,1
484,Ben_Broussard,1
485,Ben_Cahoon,1
486,Ben_Chandler,1
487,Ben_Cohen,1
488,Ben_Curtis,3
489,Ben_Davis,1
490,Ben_Glisan,2
491,Ben_Howland,4
492,Ben_Kingsley,1
493,Ben_Lee,1
494,Ben_Stein,1
495,Ben_Wallace,1
496,Bernadette_Peters,1
497,Bernardo_Segura,2
498,Bernard_Ebbers,1
499,Bernard_Giraudeau,1
500,Bernard_Kerik,1
501,Bernard_Landry,4
502,Bernard_Law,5
503,Bernard_Lord,2
504,Bernard_Siegel,1
505,Bernice_Wong,1
506,Bertie_Ahern,5
507,Bertrand_Bonello,2
508,Bertrand_Delanoe,1
509,Beth_Blough,1
510,Beth_Jones,2
511,Betsy_Coffin,1
512,Betsy_Smith,2
513,Bettina_Rheims,1
514,Betty_Garrison,1
515,Betty_Williams,1
516,Beyonce_Knowles,1
517,Bianca_Jagger,1
518,Bijan_Darvish,3
519,Bijan_Namdar_Zangeneh,2
520,Bilal_Erdogan,1
521,Biljana_Plavsic,3
522,Billy_Andrade,1
523,Billy_Beane,1
524,Billy_Bob_Thornton,1
525,Billy_Boyd,1
526,Billy_Crawford,1
527,Billy_Crystal,6
528,Billy_Donovan,1
529,Billy_Edelin,1
530,Billy_Gilman,1
531,Billy_Graham,2
532,Billy_Joel,1
533,Billy_Rork,1
534,Billy_Sollie,2
535,Billy_Tibbets,1
536,Bill_Belichick,2
537,Bill_Bradley,1
538,Bill_Butler,1
539,Bill_Byrne,1
540,Bill_Callahan,3
541,Bill_Carmody,1
542,Bill_Cartwright,1
543,Bill_Clancy,1
544,Bill_Clinton,29
545,Bill_Curry,1
546,Bill_Doba,1
547,Bill_Duffey,1
548,Bill_Elliott,1
549,Bill_Fennelly,1
550,Bill_Frist,9
551,Bill_Gates,17
552,Bill_Graham,9
553,Bill_Guerin,1
554,Bill_Herrion,1
555,Bill_Hughes,1
556,Bill_King,1
557,Bill_Kollar,1
558,Bill_Kong,1
559,Bill_Lerach,1
560,Bill_Maher,1
561,Bill_Mauldin,1
562,Bill_McBride,10
563,Bill_Nelson,2
564,Bill_OReilly,1
565,Bill_Parcells,2
566,Bill_Parsons,1
567,Bill_Paxton,4
568,Bill_Pryor,1
569,Bill_Rainer,1
570,Bill_Readdy,1
571,Bill_Richardson,1
572,Bill_Self,1
573,Bill_Simon,15
574,Bill_Sizemore,2
575,Bill_Stapleton,1
576,Bill_Stein,1
577,Bill_Walton,1
578,Bing_Crosby,1
579,Binyamin_Ben-Eliezer,7
580,Bison_Dele,1
581,Bixente_LIzarazu,1
582,BJ_Habibie,1
583,Blas_Ople,1
584,Blythe_Danner,2
585,Blythe_Hartley,2
586,Bobby_Bowden,1
587,Bobby_Goldwater,2
588,Bobby_Jackson,1
589,Bobby_Kielty,1
590,Bobby_Robson,2
591,Bobo_Balde,1
592,Bob_Alper,1
593,Bob_Beauprez,2
594,Bob_Bowlsby,1
595,Bob_Cantrell,1
596,Bob_Colvin,2
597,Bob_Crippen,1
598,Bob_Curtis,1
599,Bob_Dole,3
600,Bob_Eskridge,1
601,Bob_Ferguson,1
602,Bob_Geldof,2
603,Bob_Goldman,1
604,Bob_Graham,6
605,Bob_Guccione,1
606,Bob_Hartley,1
607,Bob_Hayes,1
608,Bob_Herz,1
609,Bob_Holden,1
610,Bob_Hope,8
611,Bob_Huggins,4
612,Bob_Iger,1
613,Bob_Krueger,1
614,Bob_Melvin,1
615,Bob_Menendez,1
616,Bob_Newhart,1
617,Bob_Petrino,1
618,Bob_Riley,1
619,Bob_Stoops,7
620,Bob_Sulkin,1
621,Bob_Taft,1
622,Bob_Wright,1
623,Bode_Miller,2
624,Bonnie_Fuller,1
625,Bonnie_Hunt,1
626,Bono,3
627,Boris_Becker,6
628,Boris_Berezovsky,2
629,Boris_Henry,1
630,Boris_Jordan,1
631,Boris_Trajkovski,1
632,Boris_Yeltsin,2
633,Boutros_Boutros_Ghali,1
634,Bo_Pelini,2
635,Bo_Ryan,2
636,Brady_Rodgers,1
637,Brad_Alexander_Smith,1
638,Brad_Banks,1
639,Brad_Brownell,1
640,Brad_Garrett,4
641,Brad_Gushue,1
642,Brad_Johnson,5
643,Brad_Miller,1
644,Brad_Pitt,1
645,Brad_Russ,1
646,Brad_Smith,1
647,Brad_Wilk,1
648,Brajesh_Mishra,1
649,Brandon_Boyd,1
650,Brandon_Fails,1
651,Brandon_Hammond,1
652,Brandon_Inge,1
653,Brandon_Jones,1
654,Brandon_Knight,1
655,Brandon_Larson,1
656,Brandon_Lloyd,1
657,Brandon_Robinson,1
658,Brandon_Spann,1
659,Brandon_Webb,1
660,Branko_Crvenkovski,3
661,Brawley_King,1
662,Brendan_Fraser,1
663,Brendan_Gaughan,1
664,Brendan_Hansen,2
665,Brendan_Stai,1
666,Brenda_Magana,1
667,Brenda_van_Dam,1
668,Brenda_Wilson,1
669,Brennon_Leighton,1
670,Brent_Coles,1
671,Brett_Boone,1
672,Brett_Hawke,1
673,Brett_Hull,1
674,Brett_Perry,1
675,Brian_Billick,1
676,Brian_Campbell,1
677,Brian_Cashman,1
678,Brian_Clemens,1
679,Brian_Cook,1
680,Brian_Cowen,2
681,Brian_De_Palma,1
682,Brian_Florence,1
683,Brian_Grazier,1
684,Brian_Gregory,1
685,Brian_Griese,2
686,Brian_Heidik,2
687,Brian_Henson,1
688,Brian_Jordan,1
689,Brian_Kerr,1
690,Brian_Lara,1
691,Brian_McIntyre,1
692,Brian_Meadors,1
693,Brian_Mulroney,2
694,Brian_Olson,1
695,Brian_Pavlich,1
696,Brian_Scalabrine,1
697,Brian_Schneider,1
698,Brian_StPierre,1
699,Brian_Van_Dusen,1
700,Brian_Weaver,1
701,Brian_Wells,2
702,Brian_Williams,1
703,Bridgette_Wilson-Sampras,3
704,Bridget_Fonda,3
705,Brigitte_Boisselier,2
706,Britney_Spears,14
707,Brittany_Snow,1
708,Brock_Berlin,1
709,Bronson_Arroyo,1
710,Brooke_Adams,1
711,Brooke_Gordon,1
712,Brooke_Shields,2
713,Brook_Robinson,1
714,Bruce_Arena,1
715,Bruce_Gebhardt,1
716,Bruce_Lunsford,1
717,Bruce_Paltrow,1
718,Bruce_Springsteen,4
719,Bruce_Van_De_Velde,2
720,Bruce_Weber,2
721,Bruce_Willis,1
722,Bruna_Colosio,1
723,Bruno_Junquiera,1
724,Bryant_Young,1
725,Bryan_Adams,1
726,Bryan_Chui,1
727,Bryan_Cooley,1
728,Bryan_Murray,1
729,Bryan_Thomas,1
730,Bryce_Carmine,1
731,Buck_Rodgers,1
732,Buddy_Ryan,1
733,Budd_Schulberg,1
734,Bud_Selig,4
735,Buford_Blount,1
736,Bulent_Ecevit,6
737,Bustam_A_Zedan_Aljanabi,1
738,Butch_Davis,2
739,Buzz_Hargrove,1
740,Byron_Scott,2
741,Cabas,1
742,Caio_Blat,1
743,Calbert_Cheaney,1
744,Calista_Flockhart,6
745,Calvin_Harrison,1
746,Calvin_Joseph_Coleman,1
747,Cameron_Diaz,6
748,Camilla_Parker_Bowles,2
749,Camille_Colvin,1
750,Camille_Lewis,1
751,Camryn_Manheim,1
752,Candace_Sutton,1
753,Candice_Beatty,1
754,Candice_Bergen,3
755,Candie_Kung,4
756,Carey_Lowell,1
757,Carina_Lau_Ka-ling,1
758,Carin_Koch,1
759,Cari_Davis,1
760,Carla_Del_Ponte,5
761,Carla_Gay_Balingit,1
762,Carla_Gugino,1
763,Carla_Moreno,1
764,Carla_Myers,2
765,Carla_Sullivan,1
766,Carla_Tricoli,1
767,Carlos_Alberto,1
768,Carlos_Alberto_Parreira,1
769,Carlos_Arroyo,1
770,Carlos_Barra,1
771,Carlos_Barragan,1
772,Carlos_Beltran,1
773,Carlos_Bianchi,2
774,Carlos_De_Abreu,1
775,Carlos_Fasciolo,1
776,Carlos_Ghosn,2
777,Carlos_Iturgaitz,1
778,Carlos_Juarez,1
779,Carlos_Lordkipanitse,1
780,Carlos_Manuel_Pruneda,3
781,Carlos_Menem,21
782,Carlos_Mesa,2
783,Carlos_Moya,19
784,Carlos_Ortega,3
785,Carlos_Paternina,1
786,Carlos_Queiroz,1
787,Carlos_Quintanilla_Schmidt,2
788,Carlos_Ruckauf,1
789,Carlos_Ruiz,3
790,Carlos_Salinas,1
791,Carlos_Savedra,1
792,Carlos_Vives,4
793,Carlo_Ancelotti,3
794,Carlo_Azeglio_Ciampi,1
795,Carlton_Baugh,1
796,Carlton_Dotson,1
797,Carly_Fiorina,3
798,Carly_Gullickson,1
799,Carl_Levin,1
800,Carl_Pope,1
801,Carl_Reiner,2
802,Carmen_Electra,6
803,Carolina_Barco,1
804,Carolina_Kluft,3
805,Carolina_Moraes,2
806,Caroline_Dhavernas,1
807,Caroline_Kennedy,3
808,Caroline_Link,1
809,Carolyn_Dawn_Johnson,3
810,Carolyn_Kuhl,1
811,Carol_Burnett,2
812,Carol_Carmody,1
813,Carol_Moseley_Braun,2
814,Carol_Niedermayer,1
815,Carol_Williams,1
816,Carrie-Anne_Moss,5
817,Carroll_Weimer,1
818,Carson_Daly,2
819,Carson_Palmer,4
820,Casey_Crowder,1
821,Casey_Mears,1
822,Cassandra_Heise,1
823,Cass_Ballenger,1
824,Casy_Preslar,1
825,Cate_Blanchett,4
826,Catherine_Bell,1
827,Catherine_Deneuve,5
828,Catherine_Donkers,1
829,Catherine_Ndereba,1
830,Catherine_Woodard,1
831,Catherine_Zeta-Jones,11
832,Cathryn_Crawford,1
833,Cathy_Chisholm,1
834,Cathy_Cunningham,1
835,Cathy_Freeman,2
836,Catriona_Le_May_Doan,1
837,Cecile_de_France,1
838,Cecilia_Bolocco,3
839,Cecilia_Chang,1
840,Cecilia_Cheung,1
841,Cedric_Benson,1
842,Celia_Cruz,1
843,Celine_Dion,8
844,Celso_Amorim,2
845,Celso_Lafer,1
846,Cemil_Cicek,1
847,Cesar_Gaviria,8
848,Cesar_Maia,2
849,Chadha_Gurinder,1
850,Chakib_Khelil,2
851,Chance_Mock,1
852,Chanda_Rubin,5
853,Chandrika_Kumaratunga,1
854,Chang_Dae-whan,2
855,Chang_Jae_On,1
856,Chang_Saio-yue,1
857,Chang_Sang,1
858,Chang_Tso,1
859,Chante_Jawan_Mallard,1
860,Chan_Choi,1
861,Chan_Gailey,3
862,Chan_Ho_Park,1
863,Charla_Moye,1
864,Charlene_Barshefsky,1
865,Charles_Bell,1
866,Charles_Bronson,3
867,Charles_Chandler_IV,1
868,Charles_Cope,1
869,Charles_Grassley,2
870,Charles_Holzner,1
871,Charles_Ingram,1
872,Charles_Kartman,2
873,Charles_Lebois,1
874,Charles_Mathews,2
875,Charles_Moose,13
876,Charles_Pickering,1
877,Charles_Pouty,1
878,Charles_Richardson,1
879,Charles_Rogers,1
880,Charles_Schumer,2
881,Charles_Tannok,1
882,Charles_Taylor,9
883,Charley_Armey,1
884,Charlie_Coles,1
885,Charlie_Deane,1
886,Charlie_Garner,1
887,Charlie_Hunnam,1
888,Charlie_Sheen,1
889,Charlie_Williams,1
890,Charlie_Zaa,2
891,Charlize_Theron,1
892,Charlotte_Casiraghi,1
893,Charlotte_Chambers,1
894,Charlotte_Church,1
895,Charlotte_Rampling,2
896,Charlton_Heston,6
897,Charmaine_Crooks,1
898,Chawki_Armali,1
899,Cha_Yung-gu,1
900,Chea_Sophara,1
901,Chelsea_Clinton,1
902,Chen_Kaige,1
903,Chen_Liang_Yu,2
904,Chen_Shui-bian,5
905,Chen_Tsai-chin,1
906,Cherie_Blair,4
907,Cherry_Jones,1
908,Cheryl_Ford,1
909,Cheryl_Hines,1
910,Cheryl_James,1
911,Cheryl_Little,1
912,Cheryl_Tiegs,1
913,Chhouk_Rin,1
914,Chick_Hearn,3
915,Chin-Feng_Chen,1
916,Chin-Hui_Tsao,1
917,Chip_Burrus,1
918,Chip_Ganassi,1
919,Chip_Knight,1
920,Chistian_Stahl,1
921,Chita_Rivera,2
922,Chloe_Sevigny,1
923,Choi_Sung-hong,5
924,Choi_Yun-yong,1
925,Chok_Tong_Goh,2
926,Cho_Myung-kyun,1
927,Christiane_Wulff,1
928,Christian_Bale,1
929,Christian_Fittipaldi,2
930,Christian_Gimenez,1
931,Christian_Lacroix,1
932,Christian_Lirette,1
933,Christian_Longo,3
934,Christian_Malcolm,1
935,Christian_Olsson,1
936,Christian_Patino,1
937,Christian_Von_Wernich,1
938,Christian_Wulff,2
939,Christina_Aguilera,4
940,Christina_Sawaya,1
941,Christine_Arron,1
942,Christine_Baumgartner,5
943,Christine_Ebersole,2
944,Christine_Gregoire,4
945,Christine_Rau,1
946,Christine_Todd_Whitman,6
947,Christopher_Amolsch,1
948,Christopher_Conyers,1
949,Christopher_Matero,1
950,Christopher_Patten,2
951,Christopher_Reeve,4
952,Christopher_Russell,1
953,Christopher_Speer,1
954,Christopher_Walken,4
955,Christopher_Whittle,1
956,Christoph_Daum,1
957,Christy_Ferer,1
958,Christy_Turlington,1
959,Chris_Andrews,1
960,Chris_Bell,2
961,Chris_Byrd,2
962,Chris_Cirino,1
963,Chris_Claiborne,1
964,Chris_Columbus,1
965,Chris_Cookson,1
966,Chris_Cooper,2
967,Chris_Cornell,1
968,Chris_Crocker,1
969,Chris_Dodd,1
970,Chris_Forsyth,1
971,Chris_Gratton,1
972,Chris_Hernandez,1
973,Chris_Klein,1
974,Chris_Kolanas,1
975,Chris_Matthews,1
976,Chris_Moore,1
977,Chris_Neil,1
978,Chris_Noth,1
979,Chris_Penn,1
980,Chris_Pronger,1
981,Chris_Reitsma,1
982,Chris_Rock,2
983,Chris_Simon,1
984,Chris_Swecker,1
985,Chris_Terry,1
986,Chris_Thomas,1
987,Chris_Tucker,2
988,Chris_Whitney,1
989,Chuanyun_Li,1
990,Chuck_Amato,2
991,Chuck_Bednarik,1
992,Chuck_Eidson,1
